tarih;usd;index
1.01.2018;3.76;1
2.01.2018;3.77;2
3.01.2018;3.77;3
4.01.2018;3.76;4
5.01.2018;3.76;5
6.01.2018;3.76;6
7.01.2018;3.76;7
8.01.2018;3.75;8
9.01.2018;3.75;9
10.01.2018;3.76;10
11.01.2018;3.78;11
12.01.2018;3.79;12
13.01.2018;3.79;13
14.01.2018;3.79;14
15.01.2018;3.76;15
16.01.2018;3.76;16
17.01.2018;3.82;17
18.01.2018;3.81;18
19.01.2018;3.8;19
20.01.2018;3.8;20
21.01.2018;3.8;21
22.01.2018;3.78;22
23.01.2018;3.81;23
24.01.2018;3.79;24
25.01.2018;3.76;25
26.01.2018;3.74;26
27.01.2018;3.74;27
28.01.2018;3.74;28
29.01.2018;3.74;29
30.01.2018;3.77;30
31.01.2018;3.78;31
1.02.2018;3.75;32
2.02.2018;3.76;33
3.02.2018;3.76;34
4.02.2018;3.76;35
5.02.2018;3.75;36
6.02.2018;3.76;37
7.02.2018;3.78;38
8.02.2018;3.77;39
9.02.2018;3.81;40
10.02.2018;3.81;41
11.02.2018;3.81;42
12.02.2018;3.81;43
13.02.2018;3.81;44
14.02.2018;3.8;45
15.02.2018;3.8;46
16.02.2018;3.77;47
17.02.2018;3.77;48
18.02.2018;3.77;49
19.02.2018;3.75;50
20.02.2018;3.75;51
21.02.2018;3.77;52
22.02.2018;3.78;53
23.02.2018;3.8;54
24.02.2018;3.8;55
25.02.2018;3.8;56
26.02.2018;3.78;57
27.02.2018;3.78;58
28.02.2018;3.78;59
1.03.2018;3.8;60
2.03.2018;3.81;61
3.03.2018;3.81;62
4.03.2018;3.81;63
5.03.2018;3.8;64
6.03.2018;3.82;65
7.03.2018;3.8;66
8.03.2018;3.8;67
9.03.2018;3.81;68
10.03.2018;3.81;69
11.03.2018;3.81;70
12.03.2018;3.82;71
13.03.2018;3.82;72
14.03.2018;3.86;73
15.03.2018;3.86;74
16.03.2018;3.89;75
17.03.2018;3.89;76
18.03.2018;3.89;77
19.03.2018;3.9;78
20.03.2018;3.94;79
21.03.2018;3.94;80
22.03.2018;3.93;81
23.03.2018;3.91;82
24.03.2018;3.91;83
25.03.2018;3.91;84
26.03.2018;3.96;85
27.03.2018;3.97;86
28.03.2018;3.98;87
29.03.2018;3.99;88
30.03.2018;3.99;89
31.03.2018;3.99;90
1.04.2018;3.99;91
2.04.2018;3.95;92
3.04.2018;3.96;93
4.04.2018;3.98;94
5.04.2018;4.01;95
6.04.2018;4.03;96
7.04.2018;4.03;97
8.04.2018;4.03;98
9.04.2018;4.05;99
10.04.2018;4.06;100
11.04.2018;4.07;101
12.04.2018;4.15;102
13.04.2018;4.13;103
14.04.2018;4.13;104
15.04.2018;4.13;105
16.04.2018;4.08;106
17.04.2018;4.1;107
